objective,num_leaves,n_estimators,max_depth,learning_rate,feature_fraction,mean_score,std_score
mape,1350,150,10,0.046,0.9,0.8869514639645891,0.00538128195514294
rmse,450,1300,4,0.028,0.4,0.8860951823328953,0.0044966442017252755
mape,700,850,6,0.02,0.9,0.8717764958746153,0.006789686209094086
mae,550,900,9,0.016,0.3,0.8879616002864197,0.004833639577933498
mape,1050,1400,12,0.004,0.2,0.8643974200584921,0.004121078367533104
mae,1350,750,4,0.048,0.9,0.8640813259952946,0.008014092368942707
rmse,150,100,9,0.03,0.4,0.8798845251291361,0.004472854440294847
rmse,300,1150,12,0.032,0.7,0.9140436342186862,0.003818007639138792
rmse,1100,800,3,0.028,0.9,0.8644767213194012,0.00652934139410775
rmse,150,650,10,0.042,0.8,0.9118131884092066,0.003931531641444289
mape,650,300,3,0.044,0.3,0.8236170558518174,0.00690848946304936
mae,200,300,-1,0.044,0.9,0.8996342829866557,0.004319067808317996
mae,800,1350,7,0.032,0.9,0.8846870084981857,0.0054388789227663575
rmse,750,900,-1,0.012,0.1,0.8737544128169217,0.003648659931130429
mape,700,650,6,0.036,0.2,0.8674509149674253,0.007041787675917937
rmse,600,1450,5,0.014,0.8,0.8913731921788081,0.006051880647019365
mae,650,1100,10,0.04,0.4,0.8963586509554794,0.005043118425084051
mape,350,550,10,0.018,0.4,0.8882839179335651,0.004827488001945833
mape,750,750,8,0.012,0.1,0.8341463447971649,0.0039091797769855155
mape,750,1450,11,0.028,0.3,0.8931663718307742,0.005335979178601388
mape,150,1300,9,0.036,0.3,0.8897903988616105,0.00496009069418959
mape,600,1250,5,0.038,0.4,0.8730717069261911,0.007036170487804056
rmse,600,150,11,0.048,0.3,0.8999268170596063,0.004014177135269252
mae,650,1400,6,0.004,0.3,0.8618248534166456,0.005262743631059588
rmse,1400,1450,12,0.038,0.6,0.9143667935129756,0.003270984280055191
mape,1400,750,12,0.02,0.4,0.893246241718058,0.004498006071308466
mape,1150,1450,8,0.046,0.5,0.8888692844544933,0.0044325998801902
mae,350,1100,-1,0.008,0.5,0.9016082923055726,0.004625642050289726
mape,250,1100,8,0.016,0.6,0.8846206879114483,0.005569859200121696
rmse,800,750,9,0.044,0.7,0.9113221488015715,0.00384130753444324
rmse,150,1450,11,0.02,0.3,0.9118690835656912,0.003439340224576443
rmse,1100,750,4,0.022,0.7,0.8770483970160946,0.006216736279125839
mae,800,950,6,0.016,0.9,0.8728111261528106,0.006598046362844007
rmse,400,300,12,0.018,0.7,0.9030746275565515,0.004873472334967577
rmse,1350,150,3,0.006,0.8,0.5466368244394886,0.0024866191762831415
mape,600,700,5,0.04,0.7,0.8683615342657431,0.007834486911541946
rmse,550,950,7,0.03,0.5,0.9061318325934675,0.0037229892223728904
rmse,750,750,3,0.048,0.3,0.8703231219996266,0.004466857745611989
mape,1250,150,-1,0.014,0.8,0.8439394768879317,0.003085406311569535
mae,300,500,6,0.032,0.9,0.8735682982302739,0.006166880189982978
rmse,900,650,7,0.04,0.6,0.9056447708718744,0.004328743871995816
mae,100,250,11,0.044,0.2,0.8736326107224832,0.0049946771774184405
rmse,100,550,4,0.04,0.6,0.8801661497845348,0.0056155693219684735
rmse,850,800,4,0.046,0.5,0.8868419762096628,0.0053420021454259545
rmse,800,200,3,0.02,0.8,0.8193025502989828,0.00708585213044176
mape,1450,1150,-1,0.012,0.5,0.9003549706302985,0.004254386259876014
mape,200,750,9,0.042,0.5,0.8898325223459578,0.004409129035395815
rmse,300,550,10,0.014,0.4,0.903806367767492,0.004042270470428972
rmse,1450,1250,3,0.014,0.1,0.8370570255262726,0.004534424621326654
mae,850,100,8,0.012,0.1,0.5270989611149312,0.007491171590610282
mae,1250,1250,3,0.016,0.6,0.8424906905108656,0.00693504513151918
mape,250,1400,4,0.01,0.9,0.853594883354434,0.008009145751265077
mae,750,750,9,0.016,0.8,0.8899411144932783,0.004895583976623823
mape,1200,700,4,0.022,0.3,0.8504295992895211,0.006885790644633115
rmse,500,800,12,0.024,0.7,0.9117288917114017,0.0039152532774430985
rmse,150,1250,9,0.036,0.4,0.911893444131408,0.0036573387043183727
mae,1050,600,5,0.028,0.7,0.8677041939690143,0.007138311357554746
mae,950,550,10,0.01,0.2,0.8687373148771966,0.003957298854477173
mae,1100,850,9,0.01,0.2,0.8735140536881906,0.004355793946367782
mae,450,200,-1,0.02,0.5,0.8916184489850251,0.00459107610692227
mape,950,1100,12,0.018,0.4,0.8942794952552553,0.004685307873430071
mae,1100,1250,3,0.012,0.6,0.8376254123236982,0.00677055943334879
mape,1300,600,10,0.02,0.3,0.8867282926931779,0.004607459978193634
rmse,1250,400,5,0.038,0.1,0.8623455966981999,0.0037796365902008034
mape,100,1250,11,0.04,0.9,0.8937927776298777,0.004708280046519974
rmse,600,1200,6,0.042,0.9,0.9052339133946304,0.004591305429469764
mae,250,150,11,0.042,0.2,0.8701405845379616,0.004432147349014595
rmse,400,600,11,0.022,0.6,0.909631963836186,0.003170505223135524
mae,500,500,5,0.034,0.3,0.866497615755119,0.007769963304108339
mae,100,1300,10,0.004,0.4,0.8832195377446439,0.005189978562638791
mape,550,1050,6,0.006,0.3,0.8636860369062844,0.005704676867297543
rmse,100,900,10,0.042,0.4,0.9117349072829597,0.004439960581762368
mae,1400,1200,5,0.018,0.8,0.8689261020984629,0.007377583194241633
mape,1250,200,6,0.042,0.1,0.817252521750559,0.0032736904035649676
mae,1250,500,5,0.032,0.1,0.8338541013857834,0.0046563092123199515
mape,600,1250,7,0.026,0.5,0.8833843517532828,0.005347464076333247
mae,1450,550,7,0.028,0.6,0.8811179247734272,0.006308260583993941
rmse,450,1050,10,0.026,0.3,0.9095131653997031,0.0034241929328149385
rmse,150,1350,11,0.018,0.2,0.9047348736509169,0.003467701707996319
rmse,1300,950,11,0.01,0.9,0.9051281852425492,0.004438872144089068
